"","text","date","time","textfre","score","result","name"
"150"," you admit trump doesnt have the votes to win yet you push to confirm a scotus pick nam ",2020-09-19,"21:26:47"," admit doesnt votes win yet push confirm scotus pick nam ",2,"postive","trump"
"151"," trump criticeven when they hear him saying the words in his own voice the dont believehas ",2020-09-19,"21:13:03"," criticeven hear saying words voice dont believehas ",-1,"negative","trump"
"152","poll added in mo rrg to biden trump new mo average trump up ",2020-09-19,"21:12:11","poll added mo rrg new mo average ",1,"postive","trump"
"153","trump best case vs biden has changed biden by biden trump biden by biden trump ",2020-09-19,"21:06:43"," best case vs changed ",0,"neutral","trump"
"154","trump supporter energy and enthusiasm in nevada is off the hook the only way democrats can win is ",2020-09-19,"21:05:23"," supporter energy enthusiasm nevada hook way democrats can win ",3,"postive","trump"
"155","what if trump looses the election on november and then he and the senate fill the vacant seat after ",2020-09-19,"21:02:43"," looses election november senate fill vacant seat ",-1,"negative","trump"
"156","a package containing ricin was sent to president trump and the white house but was intercepted by law enforcement i ",2020-09-19,"21:00:15"," package containing ricin sent president white house intercepted law enforcement ",1,"postive","trump"
"157","comparing approval ratings for trump amp obama at this point in their presidency rasmussen reports daily tracking po ",2020-09-20,"23:53:41","comparing approval ratings amp obama point presidency rasmussen reports daily tracking po ",1,"postive","trump"
"158"," fair enough would whom i have asked about trumps destruction of liberal politic ",2020-09-20,"23:45:14"," fair enough asked destruction liberal politic ",1,"postive","trump"
"159"," i think trump will likely win this election hes a vile human being but the contingent wor ",2020-09-20,"23:40:22"," think will likely win election hes vile human contingent wor ",0,"neutral","trump"
"160","we have a big november matchup for the election donald grab her by the pssy trump vs joe i cant remember my ",2020-09-20,"23:28:46"," big november matchup election grab pssy vs cant remember ",0,"neutral","trump"
"161","icymi former clinton adviser any trump supreme court pick will be fundamentally illegitimate ",2020-09-20,"23:19:02","icymi former clinton adviser supreme court pick will fundamentally illegitimate ",2,"postive","trump"
"162","trump has lied americans have died he continues to lie americans continue to die gop is complicit ",2020-09-20,"23:10:47"," lied americans died continues lie americans continue die gop complicit ",-4,"negative","trump"
"163","there are days left until the election between joe biden and donald trump here is number of the top doad ",2020-09-20,"23:07:34"," days left election number top doad ",1,"postive","trump"
"164","so many republicans have similar feelings to this and cant vote for trump again no matter what people hoped he ",2020-09-20,"23:06:40"," many republicans similar feelings cant vote matter people hoped ",0,"neutral","trump"
"165"," rephrase it to what you already know zev trump wins ",2020-09-20,"23:05:08"," rephrase already know zev wins ",1,"postive","trump"
"166","social security medicare and the election where do trump and biden stand do you know the differences and simi ",2020-09-20,"23:00:21","social security medicare election stand know differences simi ",0,"neutral","trump"
"167","bob woodward on trumps reelection chances i think he could win and i think he could lose ",2020-09-20,"22:57:58","bob woodward reelection chances think win think lose ",1,"postive","trump"
"168"," hillary clinton would likely have nuked russia and killed us all donald trump is trying to br ",2020-09-20,"22:44:18"," hillary clinton likely nuked russia killed us trying br ",-1,"negative","trump"
"169","next time you see trump supporters hand them your billsyou know the electric bill water mortgage etc clear ",2020-09-20,"22:39:21","next time see supporters hand billsyou know electric bill water mortgage etc clear ",2,"postive","trump"
"170","this is the kind of thing we need to be wary of in the leadup to trump and the gop are desperate a ",2020-09-20,"22:36:38"," kind thing need wary leadup gop desperate ",-1,"negative","trump"
"171","think ive said this about twenty times today and yesterday if trump has to pick a new supreme court justice i r ",2020-09-20,"22:35:37","think ive said twenty times today yesterday pick new supreme court justice r ",4,"postive","trump"
"172"," package to president trump w ",2020-09-20,"22:32:22"," package president w ",1,"postive","trump"
"173","the japanese built new plants in michigan under trump he is killing the automotive industry in america ",2020-09-20,"22:31:42"," japanese built new plants michigan killing automotive industry america ",0,"neutral","trump"
"174","your mind is made up with biden vs trump i know are you as clear and certain about all the other races that will ",2020-09-20,"22:17:42"," mind made vs know clear certain races will ",2,"postive","trump"
"175"," still dont know if trump is good or bad deaths havent cut it for them yet m infection cases a ",2020-09-20,"22:17:20"," still dont know good bad deaths havent cut yet m infection cases ",-2,"negative","trump"
"176","biden got a point for the first time from donald trump mouth ",2020-09-20,"22:13:30"," got point first time mouth ",0,"neutral","trump"
"177"," distraction from covid the trump familys lifetime theme hey look over there ",2020-09-20,"22:05:12"," distraction covid familys lifetime theme hey look ",-1,"negative","trump"
"178"," if he losestrump will go to his mother country russia to avoid prosecuti ",2020-09-20,"21:55:46"," losestrump will go mother country russia avoid prosecuti ",-1,"negative","trump"
"179"," trump murdered k americanslock him up joe ",2020-09-20,"21:53:49"," murdered k americanslock ",-1,"negative","trump"
